,source,target,weight
589,Latvia,Belarus,0.007936507936507936
590,Czechoslovakia,Finland,0.008849557522123894
591,Ecuador,Oman,0.005714285714285714
592,India,Rwanda,0.005291005291005291
593,Sweden,Egypt,0.0037735849056603774
594,Canada,Austria,0.005988023952095809
595,Iran,Jamaica,0.005917159763313609
596,Ecuador,Haiti,0.017142857142857144
597,Germany,Poland,0.02226027397260274
598,Russia,Canada,0.0026954177897574125
599,Thailand,Macau,0.006211180124223602
600,Hungary,Czechoslovakia,0.04741379310344827
601,Armenia,Turkmenistan,0.016129032258064516
602,Turkey,Belgium,0.012244897959183673
603,Cape Verde,Guinea-Bissau,0.07407407407407407
604,Colombia,Venezuela,0.08032128514056225
605,India,Guam,0.010582010582010581
606,Somalia,Ethiopia,0.1
607,Nigeria,Namibia,0.010169491525423728
608,Netherlands,France,0.02511415525114155
609,Hungary,Liechtenstein,0.004310344827586207
610,South Korea,Iceland,0.003795066413662239
611,Mayotte,Réunion,0.09090909090909091
612,Uruguay,Iraq,0.002380952380952381
613,Philippines,Taiwan,0.023529411764705882
614,Guadeloupe,Dominica,0.09090909090909091
615,Russia,Spain,0.0026954177897574125
616,Scotland,Croatia,0.00510204081632653
617,Uruguay,Haiti,0.002380952380952381
618,Norway,Malta,0.03184713375796178
619,Qatar,Tunisia,0.00784313725490196
620,Peru,Iraq,0.0043859649122807015
621,Northern Ireland,Luxembourg,0.01694915254237288
622,Kosovo,Azerbaijan,0.034482758620689655
623,Portugal,Iran,0.005952380952380952
624,Singapore,Lebanon,0.009523809523809525
625,Slovenia,Latvia,0.037037037037037035
626,Switzerland,Lithuania,0.016233766233766232
627,France,Netherlands,0.032679738562091505
628,Sint Maarten,Saint Martin,0.06666666666666667
